rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,closed,unaccredited
1010,101,University of Birmingham,66.6,1010,46.1,184,49.3,147,95.5,42,72.1,383,95.1,45,United Kingdom,"32,625",15.2,32%,58 : 42,23%,University of Birmingham,"Art, Performing Arts & Design,Civil Engineering,Geography,General Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Archaeology,Mathematics & Statistics,Accounting & Finance,Other Health,Physics & Astronomy,Education,History, Philosophy & Theology,Sport Science,Psychology,Languages, Literature & Linguistics,Chemical Engineering,Law,Medicine & Dentistry,Biological Sciences,Electrical & Electronic Engineering,Sociology,Computer Science,Chemistry,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies)",False,False
1020,102,Free University of Berlin,66.5,1020,52.1,117,59.7,86,82.5,272,71.6,394,82.4,215,Germany,"25,427",41.5,20%,63 : 37,23%,Free University of Berlin,"Politics & International Studies (incl Development Studies),Chemistry,Communication & Media Studies,Art, Performing Arts & Design,Business & Management,Archaeology,History, Philosophy & Theology,Biological Sciences,Computer Science,Psychology,Mathematics & Statistics,Law,Languages, Literature & Linguistics,Education,Sociology,Physics & Astronomy,Veterinary Science,Economics & Econometrics,Accounting & Finance,Geography,Geology, Environmental, Earth & Marine Sciences",False,False
1030,=103,University of Copenhagen,66.3,1030,49.2,139,51.1,134,91.3,102,89.5,171,80.1,256,Denmark,"31,728",4.3,14%,62 : 38,17%,University of Copenhagen,"Sport Science,Chemistry,Archaeology,Geography,Medicine & Dentistry,Languages, Literature & Linguistics,Computer Science,Other Health,Mathematics & Statistics,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Psychology,Biological Sciences,Law,Veterinary Science,Economics & Econometrics,Agriculture & Forestry,Sociology,Physics & Astronomy,Politics & International Studies (incl Development Studies),History, Philosophy & Theology",False,False
1040,=103,McMaster University,66.3,1040,43.8,224,51.3,133,93.0,76,100.0,17,87.3,163,Canada,"28,254",30.9,22%,56 : 44,16%,McMaster University,"Other Health,Physics & Astronomy,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Biological Sciences,Psychology,Art, Performing Arts & Design,Civil Engineering,Sociology,Languages, Literature & Linguistics,Chemical Engineering,Geography,Electrical & Electronic Engineering,Communication & Media Studies,Archaeology,Sport Science,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,Computer Science,Chemistry",False,False
1050,105,University of Sheffield,66.2,1050,48.0,160,49.5,144,92.3,88,77.5,297,92.0,101,United Kingdom,"27,860",15.4,40%,53 : 47,28%,University of Sheffield united kingdom UK Sheffield,"History, Philosophy & Theology,Computer Science,Geography,Archaeology,Mathematics & Statistics,Sociology,Languages, Literature & Linguistics,Chemical Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Chemistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Other Health,Economics & Econometrics,Communication & Media Studies,Law,Civil Engineering,Physics & Astronomy,Medicine & Dentistry,Accounting & Finance,Business & Management,Psychology,Architecture,Biological Sciences,Education",False,False
1060,=106,Emory University,66.1,1060,53.1,109,45.7,183,95.5,43,81.6,241,69.3,415,United States,"13,127",4.0,19%,61 : 39,8%,Emory University,"Art, Performing Arts & Design,Mathematics & Statistics,Accounting & Finance,Chemistry,Economics & Econometrics,General Engineering,Psychology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,History, Philosophy & Theology,Communication & Media Studies,Other Health,Sociology,Politics & International Studies (incl Development Studies),Physics & Astronomy,Law,Medicine & Dentistry,Biological Sciences,Business & Management",False,False
1070,=106,Lund University,66.1,1070,46.7,177,56.6,104,86.6,181,99.8,41,79.8,259,Sweden,"30,349",12.0,18%,56 : 44,23%,Lund University,"Sociology,Computer Science,Physics & Astronomy,Business & Management,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Chemistry,Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Medicine & Dentistry,Biological Sciences,Education,Chemical Engineering,Geography,Archaeology,Agriculture & Forestry,Law,History, Philosophy & Theology,Civil Engineering,Other Health,Mathematics & Statistics,Psychology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies)",False,False
1080,=106,University of Warwick,66.1,1080,48.1,158,52.1,126,89.0,139,70.5,418,96.4,28,United Kingdom,"24,905",14.4,44%,50 : 50,30%,University of Warwick,"Computer Science,Politics & International Studies (incl Development Studies),General Engineering,Chemistry,History, Philosophy & Theology,Education,Medicine & Dentistry,Communication & Media Studies,Economics & Econometrics,Mechanical & Aerospace Engineering,Mathematics & Statistics,Psychology,Civil Engineering,Geography,Electrical & Electronic Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Biological Sciences,Business & Management,Other Health,Sociology,Accounting & Finance,Art, Performing Arts & Design,Law",False,False
1090,=109,Aarhus University,65.9,1090,44.9,205,59.0,89,86.3,186,98.7,75,76.3,307,Denmark,"26,996",13.5,9%,56 : 44,25%,Aarhus University,"Other Health,Sport Science,Law,Computer Science,Mathematics & Statistics,Education,Veterinary Science,Geography,Economics & Econometrics,Electrical & Electronic Engineering,Communication & Media Studies,Biological Sciences,Politics & International Studies (incl Development Studies),Archaeology,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Medicine & Dentistry,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Psychology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry",False,False
1100,=109,University of Alberta,65.9,1100,50.1,132,55.5,109,80.9,301,99.9,29,90.7,122,Canada,"33,730",22.8,27%,,27%,University of Alberta,"History, Philosophy & Theology,Agriculture & Forestry,Sociology,Computer Science,Chemical Engineering,Law,Architecture,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,Business & Management,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,General Engineering,Physics & Astronomy,Economics & Econometrics,Other Health,Civil Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Biological Sciences,Education,Medicine & Dentistry,Veterinary Science,Geography,Archaeology,Chemistry,Psychology",False,False
1110,=111,University of Adelaide,65.8,1110,42.4,253,50.6,138,92.8,78,95.0,119,92.9,84,Australia,"23,792",36.4,31%,49 : 51,25%,University of Adelaide Adelaide University,"Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Chemistry,Geography,Law,General Engineering,Physics & Astronomy,Architecture,Veterinary Science,Education,Languages, Literature & Linguistics,Civil Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Medicine & Dentistry,Electrical & Electronic Engineering,Biological Sciences,Communication & Media Studies,Sociology,Business & Management,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Psychology,Accounting & Finance",False,False
1120,=111,University of Göttingen,65.8,1120,50.0,134,54.8,112,90.1,125,70.8,411,70.7,397,Germany,"23,349",27.4,14%,53 : 47,27%,University of Göttingen,"History, Philosophy & Theology,Veterinary Science,Law,Languages, Literature & Linguistics,Physics & Astronomy,Geography,Sport Science,Accounting & Finance,Computer Science,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Education,Archaeology,Sociology,Other Health,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Psychology,Biological Sciences,Chemistry,Economics & Econometrics,Art, Performing Arts & Design,Mathematics & Statistics,Business & Management",False,False
1130,=111,Université de Montréal,65.8,1130,51.2,124,54.1,118,81.7,289,96.6,98,87.7,155,Canada,"39,935",20.5,22%,,15%,Université de Montréal Université de Montréal Universite de Montreal,"Languages, Literature & Linguistics,Veterinary Science,Geography,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Chemistry,Accounting & Finance,Other Health,Electrical & Electronic Engineering,Sociology,Medicine & Dentistry,Physics & Astronomy,Business & Management,Archaeology,Mathematics & Statistics,Communication & Media Studies,Architecture,Biological Sciences,Education,General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Art, Performing Arts & Design,Sport Science,Psychology,Computer Science,Civil Engineering,Law,Chemical Engineering,Politics & International Studies (incl Development Studies)",False,False
1140,114,"University of Maryland, College Park",65.7,1140,49.4,138,58.1,93,92.8,79,70.2,429,48.6,848,United States,"33,988",17.0,9%,49 : 51,39%,"University of Maryland, College Park","Chemical Engineering,General Engineering,Education,Geography,Communication & Media Studies,History, Philosophy & Theology,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Civil Engineering,Other Health,Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Mechanical & Aerospace Engineering,Archaeology,Sport Science,Politics & International Studies (incl Development Studies),Sociology,Accounting & Finance,Business & Management,Agriculture & Forestry,Physics & Astronomy,Electrical & Electronic Engineering,Architecture,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Biological Sciences",False,False
1150,115,Ghent University,65.6,1150,47.2,172,59.3,88,85.3,201,99.7,46,65.7,468,Belgium,"41,487",37.6,12%,57 : 43,29%,Ghent University,"Languages, Literature & Linguistics,Accounting & Finance,Chemistry,Chemical Engineering,Psychology,Economics & Econometrics,Archaeology,Physics & Astronomy,Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Sociology,Law,Mechanical & Aerospace Engineering,Other Health,Geography,Art, Performing Arts & Design,Medicine & Dentistry,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Sport Science,Business & Management,Civil Engineering,Veterinary Science,Education,Agriculture & Forestry,Communication & Media Studies",False,False
1160,=116,University of Bern,65.4,1160,45.1,202,47.0,167,93.3,69,99.2,67,87.0,167,Switzerland,"12,399",18.2,16%,59 : 41,20%,University of Bern,"Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,Biological Sciences,Law,Other Health,Sociology,Veterinary Science,Psychology,Languages, Literature & Linguistics,Archaeology,Geology, Environmental, Earth & Marine Sciences,Business & Management,Chemistry,Education,Art, Performing Arts & Design,Computer Science,Geography,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Physics & Astronomy,Sport Science,Communication & Media Studies",False,False
1170,=116,Michigan State University,65.4,1170,54.8,102,52.3,125,86.2,189,70.0,432,71.4,388,United States,"44,514",16.1,11%,52 : 48,25%,Michigan State University,"Architecture,Veterinary Science,Communication & Media Studies,Art, Performing Arts & Design,Agriculture & Forestry,Biological Sciences,Electrical & Electronic Engineering,Law,Medicine & Dentistry,Geography,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemical Engineering,Economics & Econometrics,Other Health,Sociology,Languages, Literature & Linguistics,Education,Chemistry,Business & Management,Sport Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Civil Engineering,Mathematics & Statistics,Psychology,Computer Science,Politics & International Studies (incl Development Studies),General Engineering",False,False
1180,118,Texas A&M University,65.3,1180,55.2,98,62.1,77,77.3,389,76.4,313,64.1,502,United States,"64,427",20.5,6%,47 : 53,35%,Texas A&M University,"Architecture,Physics & Astronomy,Communication & Media Studies,Education,Computer Science,Sport Science,Accounting & Finance,History, Philosophy & Theology,Chemical Engineering,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Law,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry,Archaeology,Biological Sciences,Psychology,Electrical & Electronic Engineering,Veterinary Science,Business & Management,Other Health,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Civil Engineering,Geography",False,False
1190,=119,Rice University,65.2,1190,56.4,89,45.6,184,86.5,183,73.9,351,85.8,180,United States,"7,318",9.8,26%,42 : 58,41%,Rice University,"Mechanical & Aerospace Engineering,Physics & Astronomy,Business & Management,Biological Sciences,Other Health,General Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Sport Science,Economics & Econometrics,Civil Engineering,Sociology,Architecture,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Education,Computer Science,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Psychology,History, Philosophy & Theology,Chemical Engineering,Accounting & Finance",False,False
1200,=119,University of Vienna,65.2,1200,48.7,149,60.3,84,77.4,386,75.9,320,94.9,50,Austria,"31,318",37.4,31%,66 : 34,33%,University of Vienna,"Physics & Astronomy,Accounting & Finance,Archaeology,Chemistry,Education,History, Philosophy & Theology,Geography,Sport Science,Law,Languages, Literature & Linguistics,Veterinary Science,Business & Management,Mathematics & Statistics,Psychology,Other Health,Communication & Media Studies,Economics & Econometrics,Computer Science,Politics & International Studies (incl Development Studies),Biological Sciences,Sociology,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences",False,False
1210,121,University of Helsinki,65.1,1210,48.1,157,57.6,97,90.6,114,69.2,451,56.7,648,Finland,"22,887",15.9,5%,67 : 33,20%,University of Helsinki,"Computer Science,Geography,Physics & Astronomy,Biological Sciences,Psychology,Archaeology,Chemistry,Medicine & Dentistry,Communication & Media Studies,Agriculture & Forestry,Sociology,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Other Health,Geology, Environmental, Earth & Marine Sciences,Law,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Veterinary Science,Education",False,False
1220,122,Penn State (Main campus),65.0,1220,53.1,111,58.7,91,83.7,241,70.4,421,58.4,617,United States,"45,875",14.2,15%,48 : 52,32%,Penn State (Main campus),"Education,Economics & Econometrics,Agriculture & Forestry,Archaeology,Veterinary Science,Geography,Law,Mathematics & Statistics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Communication & Media Studies,Medicine & Dentistry,General Engineering,Chemical Engineering,Sociology,Physics & Astronomy,Sport Science,Other Health,Languages, Literature & Linguistics,Accounting & Finance,Art, Performing Arts & Design,Civil Engineering,Computer Science,Business & Management,Psychology,Chemistry,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,History, Philosophy & Theology,Architecture",False,False
1230,=123,University of Basel,64.9,1230,50.8,127,42.9,210,87.7,157,99.4,62,95.4,42,Switzerland,"8,536",10.4,31%,56 : 44,18%,University of Basel,"Economics & Econometrics,Psychology,Communication & Media Studies,Art, Performing Arts & Design,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemistry,Other Health,Computer Science,Sociology,Politics & International Studies (incl Development Studies),Sport Science,Mathematics & Statistics,History, Philosophy & Theology,Law,Medicine & Dentistry,Physics & Astronomy,Archaeology,Geography,Business & Management,Education,Biological Sciences",False,False
1240,=123,University of Massachusetts,64.9,1240,54.0,106,46.9,169,87.3,168,85.6,200,77.3,291,United States,"63,500",13.3,14%,50 : 50,25%,University of Massachusetts,"Veterinary Science,Electrical & Electronic Engineering,Sport Science,Sociology,Art, Performing Arts & Design,Education,Medicine & Dentistry,Physics & Astronomy,Mathematics & Statistics,Languages, Literature & Linguistics,General Engineering,Business & Management,Computer Science,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Chemical Engineering,Civil Engineering,Other Health,Chemistry,Law,Psychology,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Communication & Media Studies,Architecture,Biological Sciences,Economics & Econometrics,Accounting & Finance,Archaeology,Geography",False,False
1250,125,Vrije Universiteit Amsterdam,64.7,1250,40.4,297,51.0,137,93.4,68,91.5,151,84.3,198,Netherlands,"31,704",19.2,18%,57 : 43,19%,Vrije Universiteit Amsterdam,"Sport Science,Psychology,Sociology,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Chemistry,Languages, Literature & Linguistics,Other Health,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Biological Sciences,Computer Science,Communication & Media Studies,Law,Agriculture & Forestry,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Education,Economics & Econometrics,Geography,Physics & Astronomy,Business & Management,Archaeology,Mathematics & Statistics",False,False
1260,126,Technical University of Denmark,64.6,1260,50.7,129,47.4,162,83.2,257,99.7,52,92.2,99,Denmark,"10,410",7.7,28%,32 : 68,40%,Technical University of Denmark,"Veterinary Science,Mechanical & Aerospace Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Chemical Engineering,Agriculture & Forestry,General Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Chemistry,Biological Sciences,Computer Science,Other Health",False,False
1270,127,University of Oslo,64.3,1270,45.6,196,50.6,139,92.1,91,72.3,379,75.6,320,Norway,"20,967",12.5,15%,66 : 34,22%,University of Oslo,"Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Other Health,Art, Performing Arts & Design,Biological Sciences,Geography,Education,Computer Science,Communication & Media Studies,Archaeology,Chemistry,History, Philosophy & Theology,Languages, Literature & Linguistics,Sociology,Psychology,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Law",False,False
1280,128,University of Freiburg,64.1,1280,46.7,176,51.3,132,86.2,188,100.0,9,74.2,347,Germany,"19,417",34.4,17%,53 : 47,22%,University of Freiburg,"Archaeology,Sport Science,Law,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),General Engineering,Biological Sciences,Accounting & Finance,Computer Science,Physics & Astronomy,Business & Management,Languages, Literature & Linguistics,Chemical Engineering,Sociology,Other Health,Civil Engineering,Communication & Media Studies,Agriculture & Forestry,Psychology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Medicine & Dentistry,Chemistry,Geography,History, Philosophy & Theology,Mathematics & Statistics,Education",False,False
1290,129,University of Leeds,63.9,1290,46.1,186,49.1,150,87.3,167,68.8,458,94.6,57,United Kingdom,"33,450",14.4,32%,59 : 41,30%,University of Leeds,"Geography,Physics & Astronomy,Chemical Engineering,Medicine & Dentistry,Economics & Econometrics,Psychology,Other Health,Law,Business & Management,Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Biological Sciences,Electrical & Electronic Engineering,Chemistry,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sociology,Architecture,History, Philosophy & Theology,Computer Science,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Accounting & Finance,Education,Communication & Media Studies,Languages, Literature & Linguistics",False,False
1300,=130,University of Nottingham,63.8,1300,45.6,195,45.9,180,90.6,115,71.2,402,92.8,87,United Kingdom,"33,520",16.0,27%,54 : 46,27%,University of Nottingham,"History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Computer Science,Communication & Media Studies,General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Other Health,Mechanical & Aerospace Engineering,Mathematics & Statistics,Psychology,Biological Sciences,Law,Accounting & Finance,Archaeology,Chemical Engineering,Chemistry,Art, Performing Arts & Design,Agriculture & Forestry,Physics & Astronomy,Architecture,Sport Science,Geography,Medicine & Dentistry,Veterinary Science,Sociology,Business & Management,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Education",False,False
1310,=130,Tohoku University,63.8,1310,67.8,48,66.4,61,53.8,926,99.9,37,58.5,614,Japan,"17,409",11.8,12%,28 : 72,32%,Tohoku University,"Architecture,Agriculture & Forestry,Chemistry,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Economics & Econometrics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Physics & Astronomy,Archaeology,Biological Sciences,Geography,General Engineering,Sociology,Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Mathematics & Statistics,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Other Health,Veterinary Science,Education,Computer Science,Sport Science,Law",False,False
1320,132,University of Florida,63.7,1320,55.5,93,56.7,103,78.3,357,88.9,174,50.9,776,United States,"48,114",16.7,9%,56 : 44,22%,University of Florida,"Mechanical & Aerospace Engineering,Communication & Media Studies,Economics & Econometrics,Medicine & Dentistry,Veterinary Science,Sociology,Other Health,Biological Sciences,Psychology,Computer Science,Mathematics & Statistics,Education,Languages, Literature & Linguistics,General Engineering,Chemistry,Electrical & Electronic Engineering,Physics & Astronomy,Law,Art, Performing Arts & Design,Chemical Engineering,Geography,Architecture,Agriculture & Forestry,Business & Management,History, Philosophy & Theology,Sport Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Civil Engineering,Politics & International Studies (incl Development Studies)",False,False
1330,133,University of Rochester,63.6,1330,50.8,128,42.9,211,88.3,150,89.0,173,81.7,230,United States,"9,855",7.3,34%,50 : 50,24%,University of Rochester,"Mechanical & Aerospace Engineering,Biological Sciences,Education,Medicine & Dentistry,History, Philosophy & Theology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemistry,Communication & Media Studies,Mathematics & Statistics,Chemical Engineering,Sociology,Psychology,Accounting & Finance,Electrical & Electronic Engineering,Business & Management,Languages, Literature & Linguistics,Other Health,Art, Performing Arts & Design,Archaeology,Politics & International Studies (incl Development Studies),Computer Science,Physics & Astronomy,Economics & Econometrics",False,False
1340,134,Trinity College Dublin,63.2,1340,44.0,220,48.4,154,87.6,160,76.6,309,91.4,111,Ireland,"18,778",22.2,34%,61 : 39,24%,Trinity College Dublin,"Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Civil Engineering,Psychology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Sociology,Biological Sciences,Geography,History, Philosophy & Theology,Physics & Astronomy,Accounting & Finance,Electrical & Electronic Engineering,Law,Medicine & Dentistry,Chemistry,Education,Other Health,Politics & International Studies (incl Development Studies),Economics & Econometrics,Languages, Literature & Linguistics,Mathematics & Statistics,Business & Management",False,False
1350,135,Queen Mary University of London,63.1,1350,37.6,376,42.6,216,97.9,14,73.9,350,98.1,7,United Kingdom,"22,205",14.6,45%,54 : 46,23%,Queen Mary University of London,"Medicine & Dentistry,Biological Sciences,Chemistry,Communication & Media Studies,Electrical & Electronic Engineering,Business & Management,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Psychology,Civil Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Art, Performing Arts & Design,History, Philosophy & Theology,Law,Computer Science,Mathematics & Statistics,Chemical Engineering,Geography,Politics & International Studies (incl Development Studies),Other Health,Veterinary Science,Accounting & Finance,Physics & Astronomy",False,False
1360,=136,University of Hamburg,63.0,1360,44.7,208,53.3,122,84.8,216,98.6,78,65.7,471,Germany,"29,240",58.5,13%,58 : 42,22%,University of Hamburg,"Accounting & Finance,Geography,Business & Management,Agriculture & Forestry,Sport Science,Geology, Environmental, Earth & Marine Sciences,Law,History, Philosophy & Theology,Mathematics & Statistics,Computer Science,Politics & International Studies (incl Development Studies),Communication & Media Studies,Physics & Astronomy,Medicine & Dentistry,Chemistry,Archaeology,Languages, Literature & Linguistics,Economics & Econometrics,Other Health,Education,Psychology,Sociology,Biological Sciences",False,False
1370,=136,Technical University of Berlin,63.0,1370,47.8,162,55.6,108,78.1,364,99.9,36,71.3,389,Germany,"20,425",49.6,29%,35 : 65,48%,Technical University of Berlin,"General Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Architecture,Education,Chemical Engineering,Electrical & Electronic Engineering,Chemistry,Civil Engineering,Mathematics & Statistics,Sociology,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Accounting & Finance,Computer Science",False,False
1380,=138,University of Colorado Boulder,62.9,1380,46.5,181,51.9,127,88.6,145,82.8,231,56.6,651,United States,"35,844",16.5,8%,45 : 55,45%,University of Colorado Boulder,"Business & Management,Art, Performing Arts & Design,General Engineering,Mathematics & Statistics,Law,Sociology,Computer Science,Chemistry,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Physics & Astronomy,Architecture,Communication & Media Studies,Electrical & Electronic Engineering,Psychology,Education,Biological Sciences,Civil Engineering,History, Philosophy & Theology,Chemical Engineering,Languages, Literature & Linguistics,Geography",False,False
1390,=138,Maastricht University,62.9,1390,41.4,270,47.1,166,86.1,190,98.1,88,97.4,18,Netherlands,"21,337",19.6,57%,60 : 40,10%,Maastricht University,"Education,Biological Sciences,Computer Science,Chemical Engineering,Medicine & Dentistry,Communication & Media Studies,Law,Languages, Literature & Linguistics,Economics & Econometrics,Other Health,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Sociology,Business & Management,Sport Science,Psychology,Accounting & Finance,Chemistry,Mathematics & Statistics,General Engineering,History, Philosophy & Theology",False,False
1400,=140,Karlsruhe Institute of Technology,62.8,1400,49.9,137,56.8,102,72.5,499,99.9,32,77.6,287,Germany,"21,448",20.5,25%,29 : 71,50%,Karlsruhe Institute of Technology,"Civil Engineering,Chemistry,Electrical & Electronic Engineering,Geography,History, Philosophy & Theology,Agriculture & Forestry,Accounting & Finance,Architecture,Biological Sciences,Mathematics & Statistics,Business & Management,General Engineering,Education,Art, Performing Arts & Design,Sport Science,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Communication & Media Studies",False,False
1410,=140,Radboud University Nijmegen,62.8,1410,39.1,334,51.0,136,91.3,103,81.4,246,77.7,285,Netherlands,"23,004",18.2,12%,57 : 43,15%,Radboud University Nijmegen,"Geography,Art, Performing Arts & Design,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Agriculture & Forestry,Archaeology,Law,Education,Chemistry,Communication & Media Studies,Medicine & Dentistry,Psychology,Business & Management,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Computer Science,Other Health,Biological Sciences,Physics & Astronomy,History, Philosophy & Theology,Sociology,Accounting & Finance",False,False
1420,=140,Uppsala University,62.8,1420,43.9,222,55.0,111,81.3,296,97.7,92,74.7,337,Sweden,"24,749",13.3,17%,60 : 40,25%,Uppsala University,"Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,General Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemistry,Economics & Econometrics,Medicine & Dentistry,Civil Engineering,Education,Chemical Engineering,Law,Accounting & Finance,Computer Science,Geography,Business & Management,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Sociology,Archaeology,Geology, Environmental, Earth & Marine Sciences,Other Health,Physics & Astronomy",False,False
1430,=143,University of Lausanne,62.7,1430,41.7,267,46.3,175,87.3,166,99.5,59,90.4,126,Switzerland,"14,478",10.5,23%,,14%,University of Lausanne,"Geography,Biological Sciences,Communication & Media Studies,Sociology,Languages, Literature & Linguistics,Psychology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Archaeology,Law,Economics & Econometrics,Other Health,Business & Management,Education,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Sport Science,Computer Science",False,False
