ticker,roachange
EPI,Stable
EPIC,Slight Decrease
EPIE,Moderate Increase
EPII,Significant Increase
EPIK,Stable
EPIQ,Slight Increase
EPIX,Slight Decrease
EPL,Moderate Decrease
EPLN,Moderate Increase
EPM,Significant Decrease
EPMD,Moderate Increase
EPMN,Slight Decrease
EPN,Significant Decrease
EPNY,Moderate Decrease
EPOC,Moderate Increase
EPP,Slight Decrease
EPRE,Moderate Increase
EPRO,Significant Decrease
EPRS,Significant Increase
EPSC,Moderate Decrease
EPSI,Moderate Decrease
EPT,Significant Increase
EPTG,Significant Increase
EPTK,Significant Increase
EPTO,Moderate Decrease
EPUR,Slight Increase
EPZM,Moderate Decrease
EQ,Significant Increase
EQAU,Moderate Increase
EQBK,Slight Decrease
EQCC,Stable
EQCS,Slight Decrease
EQFN,Stable
EQH,Slight Decrease
EQIC,Stable
EQICB,Slight Decrease
EQIX,Slight Decrease
EQK,Slight Increase
EQMD,Moderate Decrease
EQNX,Significant Decrease
EQRX,Slight Decrease
EQSB,Stable
EQT,Moderate Increase
EQTY,Significant Increase
EQU,Stable
EQUA,Significant Decrease
EQUI,Slight Decrease
EQVN,Slight Decrease
EQX,Slight Decrease
ER,Slight Decrease
ERA,Slight Increase
ERAI,Significant Decrease
ERAS,Slight Decrease
ERB,Significant Decrease
ERBL,Moderate Increase
ERC,Moderate Decrease
ERCC,Slight Increase
ERCE,Slight Decrease
ERCI,Significant Decrease
ERCK,Slight Decrease
ERDI,Significant Decrease
ERES,Significant Increase
ERGS,Slight Increase
ERI,Moderate Decrease
ERIE,Moderate Increase
ERII,Moderate Decrease
ERIV,Moderate Increase
ERMS,Slight Decrease
ERN,Significant Decrease
ERNS,Significant Decrease
ERO,Slight Decrease
EROI,Slight Decrease
EROQ,Significant Increase
EROX,Moderate Increase
ERS,Stable
ERSI,Moderate Decrease
ERT,Moderate Decrease
ERTH,Significant Increase
ERTS,Slight Decrease
ES,Stable
ESA,Moderate Decrease
ESAB,Slight Increase
ESAN,Moderate Increase
ESB,Slight Decrease
ESBF,Stable
ESBK,Stable
ESC,Slight Decrease
ESCA,Moderate Decrease
ESCC,Significant Increase
ESCH,Stable
ESCI,Significant Increase
ESCO,Stable
ESCP,Moderate Increase
ESCR,Significant Decrease
ESD,Moderate Increase
ESE,Stable
ESEX,Significant Decrease
ESG,Stable
ESGR,Significant Increase
ESH,Moderate Increase
ESHR,Moderate Decrease
ESI,Slight Decrease
ESIC,Slight Decrease
ESIO,Slight Decrease
ESIX,Moderate Increase
ESL,Slight Increase
ESLI,Moderate Decrease
ESLR,Moderate Decrease
ESM,Moderate Increase
ESMC,Moderate Decrease
ESMR,Significant Decrease
ESMT,Slight Increase
ESNC,Significant Decrease
ESND,Stable
ESNE,Slight Decrease
ESNI,Moderate Decrease
ESNJ,Moderate Increase
ESOA,Moderate Increase
ESOL,Slight Increase
ESON,Significant Decrease
ESP,Moderate Increase
ESPC,Significant Decrease
ESPD,Significant Increase
ESPI,Moderate Increase
ESPR,Slight Increase
ESPS,Significant Decrease
ESQ,Slight Increase
ESQS,Moderate Decrease
ESR,Moderate Decrease
ESRX,Slight Decrease
ESSA,Slight Decrease
ESSF,Slight Decrease
ESSI,Slight Decrease
ESST,Significant Increase
ESSX,Stable
EST,Slight Decrease
ESTB,Moderate Decrease
ESTE,Significant Decrease
ESTI,Significant Decrease
ESTM,Significant Increase
ESTO,Moderate Increase
ESV,Moderate Decrease
ESVS,Significant Decrease
ESX,Slight Decrease
ESXB,Stable
ESY,Slight Decrease
ESYS,Moderate Decrease
ET,Moderate Increase
ETA,Moderate Decrease
ETAC,Slight Decrease
ETAK,Significant Decrease
ETB,Significant Decrease
ETC,Significant Increase
ETCC,Stable
ETCIA,Significant Decrease
ETCO,Significant Increase
ETD,Moderate Decrease
ETEC,Significant Decrease
ETEK,Significant Decrease
ETEL,Significant Decrease
ETEX,Slight Decrease
ETFC,Slight Decrease
ETFS,Slight Decrease
ETH,Moderate Increase
ETHNA,Moderate Decrease
ETI,Significant Decrease
ETN,Stable
ETNB,Significant Increase
ETON,Significant Increase
ETOP,Significant Decrease
ETR,Stable
ETRC,Slight Decrease
ETRE,Moderate Decrease
ETRM,Moderate Increase
ETRN,Slight Increase
ETRX,Moderate Increase
ETS,Slight Increase
ETSY,Moderate Increase
ETT,Moderate Increase
ETTX,Significant Decrease
ETW,Slight Decrease
ETWC,Moderate Decrease
ETWO,Slight Increase
ETX,Significant Increase
ETYS,Significant Increase
EUA,Slight Decrease
EUAM,Significant Increase
EUFA,Stable
EUNI,Significant Decrease
EUPH,Moderate Increase
EUSA,Slight Decrease
EV,Slight Decrease
EVA,Slight Decrease
EVAN,Slight Decrease
EVBG,Moderate Increase
EVBN,Slight Decrease
EVBS,Slight Decrease
EVC,Moderate Decrease
EVCI,Slight Decrease
EVCM,Slight Increase
EVDY,Slight Decrease
EVER,Slight Decrease
EVG,Significant Increase
EVGD,Moderate Decrease
EVGM,Slight Decrease
EVGN,Slight Decrease
EVGO,Slight Decrease
EVH,Stable
EVHC,Slight Decrease
EVI,Slight Increase
EVIA,Moderate Increase
EVK,Slight Decrease
EVLO,Significant Decrease
EVLV,Slight Decrease
EVMD,Stable
EVOK,Slight Increase
EVOL,Significant Decrease
EVOP,Slight Decrease
EVR,Moderate Decrease
EVRC,Moderate Decrease
EVRG,Slight Decrease
EVRI,Slight Decrease
EVRT,Slight Decrease
EVRX,Moderate Increase
EVS,Moderate Decrease
EVSI,Significant Increase
EVST,Moderate Increase
EVT,Slight Decrease
EVTC,Slight Decrease
EVTI,Significant Decrease
EVTV,Moderate Decrease
EVV,Significant Decrease
EVVV,Moderate Increase
EVY,Moderate Decrease
EW,Slight Decrease
EWAT,Slight Decrease
EWB,Moderate Decrease
EWBC,Stable
EWBX,Significant Increase
EWCZ,Slight Decrease
EWST,Stable
EWTX,Moderate Decrease
EX,Moderate Decrease
EXA,Slight Decrease
EXAC,Slight Decrease
EXAM,Slight Decrease
EXAP,Slight Decrease
EXAR,Moderate Decrease
EXAS,Moderate Increase
EXBD,Moderate Increase
EXC,Slight Increase
EXCA,Moderate Increase
EXCO,Significant Increase
EXCT,Significant Increase
EXDS,Moderate Increase
EXE,Significant Decrease
EXEC,Significant Decrease
EXEE,Moderate Increase
EXEG,Significant Increase
EXEL,Significant Decrease
EXFY,Slight Decrease
EXGN,Significant Increase
EXH,Moderate Decrease
EXHS,Significant Increase
EXID,Moderate Increase
EXJF,Stable
EXLL,Significant Decrease
EXLN,Significant Increase
EXLS,Moderate Increase
EXLT,Slight Decrease
EXMS,Stable
EXP,Moderate Increase
EXPC,Significant Decrease
EXPD,Moderate Decrease
EXPE,Stable
EXPI,Moderate Decrease
EXPL,Moderate Decrease
EXPO,Slight Decrease
EXPR,Significant Decrease
EXR,Stable
EXSO,Significant Decrease
EXTL,Significant Decrease
EXTN,Moderate Increase
EXTR,Moderate Increase
EXU,Moderate Increase
EXX,Significant Decrease
EY,Slight Increase
EYE,Slight Decrease
EYEG,Moderate Increase
EYEN,Significant Decrease
EYES,Significant Increase
EYET,Significant Increase
EYPT,Significant Decrease
EZCIA,Slight Increase
EZEM,Moderate Increase
EZEMA,Stable
EZFL,Significant Decrease
EZM,Slight Decrease
EZPW,Stable
EZR,Moderate Increase
EZS,Stable
F,Slight Increase
FA,Slight Decrease
FAAA,Slight Decrease
FAB,Stable
FABC,Stable
FABK,Stable
FABS,Significant Decrease
FAC,Significant Increase
FACE,Moderate Increase
FACO,Moderate Decrease
FACT,Significant Increase
FADV,Slight Decrease
FAF,Slight Decrease
FAFO,Significant Decrease
FAH,Slight Increase
FAHC,Stable
FAIL,Moderate Increase
FAIR,Slight Decrease
FAJ,Significant Increase
FAL,Moderate Decrease
FALB,Moderate Decrease
FALC,Significant Increase
FAM,Moderate Decrease
FAMC,Moderate Decrease
FAMCA,Slight Decrease
FAME,Moderate Increase
FAMI,Significant Decrease
FAMR,Significant Decrease
FAMS,Moderate Decrease
FANG,Significant Decrease
FAOO,Significant Decrease
FAR,Stable
FARA,Significant Decrease
FARC,Moderate Decrease
FARE,Moderate Increase
FARF,Significant Decrease
FARL,Slight Decrease
FARM,Significant Increase
FARN,Slight Increase
FARO,Slight Decrease
FARR,Slight Increase
FASH,Moderate Increase
FASI,Significant Decrease
FAST,Stable
FAT,Slight Decrease
FATB,Significant Decrease
FATE,Moderate Increase
FATK,Significant Increase
FATL,Stable
FATN,Moderate Decrease
FATS,Significant Decrease
FATV,Moderate Decrease
FAU,Significant Decrease
FAUL,Significant Increase
FAVS,Significant Decrease
FAXM,Significant Decrease
FAXX,Moderate Decrease
FAY,Moderate Decrease
FAYS,Moderate Increase
FB,Slight Decrease
FBA,Slight Decrease
FBAC,Slight Decrease
FBAN,Slight Decrease
FBAR,Significant Increase
FBBC,Slight Decrease
FBC,Slight Decrease
FBCE,Significant Decrease
FBCG,Stable
FBCI,Stable
FBCM,Moderate Increase
FBCP,Slight Decrease
FBCV,Stable
FBD,Slight Increase
FBF,Slight Decrease
FBFW,Slight Decrease
FBG,Significant Decrease
FBGI,Slight Decrease
FBGIA,Slight Decrease
FBGO,Stable
FBH,Slight Decrease
FBHC,Stable
FBHS,Moderate Decrease
FBIC,Slight Decrease
FBIO,Significant Decrease
FBIZ,Slight Decrease
FBK,Slight Decrease
FBKP,Stable
FBKS,Slight Decrease
FBM,Slight Decrease
FBMI,Stable
FBMS,Stable
FBMT,Slight Decrease
FBN,Moderate Decrease
FBNC,Slight Decrease
FBNK,Stable
FBNW,Stable
FBO,Moderate Increase
FBOH,Slight Decrease
FBOS,Slight Decrease
FBP,Stable
FBPC,Slight Decrease
FBR,Significant Decrease
FBRC,Moderate Decrease
FBRX,Significant Decrease
FBS,Stable
FBSI,Slight Decrease
FBSS,Slight Decrease
FBST,Moderate Decrease
FBT,Moderate Increase
FBTC,Slight Decrease
FBTR,Significant Increase
FBTX,Slight Decrease
FBXC,Significant Decrease
FC,Stable
FCA,Slight Increase
FCAL,Stable
FCAP,Slight Decrease
FCB,Slight Decrease
FCBC,Stable
FCBF,Stable
FCBIB,Stable
FCBK,Moderate Increase
FCBN,Moderate Increase
FCBP,Stable
FCC,Significant Decrease
FCCO,Slight Decrease
FCCY,Stable
FCE,Slight Decrease
FCEL,Slight Decrease
FCF,Stable
FCFC,Moderate Decrease
FCFL,Slight Decrease
FCFN,Stable
FCFP,Slight Decrease
FCFS,Stable
FCGI,Moderate Increase
FCH,Slight Decrease
FCI,Moderate Increase
FCIN,Significant Decrease
FCIT,Slight Decrease
FCL,Stable
FCLF,Slight Decrease
FCLR,Slight Decrease
FCLX,Slight Decrease
FCM,Significant Decrease
FCMB,Stable
FCMC,Moderate Decrease
FCN,Slight Increase
FCNB,Slight Decrease
FCNCA,Stable
FCOA,Stable
FCOB,Slight Increase
FCOLA,Slight Increase
FCOM,Moderate Increase
FCP,Moderate Decrease
FCPA,Stable
FCPI,Significant Increase
FCPO,Moderate Increase
FCS,Slight Decrease
FCSC,Significant Increase
FCSE,Significant Decrease
FCSI,Slight Decrease
FCSX,Moderate Decrease
FCT,Slight Decrease
FCTR,Slight Decrease
FCTY,Stable
FCUV,Significant Decrease
FCVA,Stable
FCWI,Stable
FCX,Moderate Decrease
FCY,Stable
FCYP,Moderate Increase
FCZA,Stable
FD,Slight Decrease
FDBC,Slight Decrease
FDC,Slight Decrease
FDCC,Significant Increase
FDEF,Slight Decrease
FDGT,
FDJA,Significant Increase
FDLB,Moderate Decrease
FDMC,Slight Decrease
FDML,Slight Increase
FDMT,Slight Decrease
FDO,Slight Decrease
FDOS,Significant Decrease
FDOT,Moderate Decrease
FDPC,Moderate Increase
FDR,Moderate Decrease
FDRC,Significant Decrease
FDRI,Stable
FDRY,Slight Decrease
FDS,Slight Decrease
FDSI,Significant Increase
FDT,Slight Decrease
FDTR,Slight Decrease
FDU,Stable
FDX,Slight Decrease
FDY,Stable
FE,Stable
FEAM,Significant Increase
FECC,Significant Increase
FED,Moderate Decrease
FEDP,Significant Increase
FEED,Significant Decrease
FEET,Significant Decrease
FEGP,Significant Decrease
FEI,Moderate Increase
FEIC,Slight Decrease
FEIM,Significant Increase
FEL,Moderate Increase
FELE,Slight Decrease
FEMP,Stable
FEMY,Significant Decrease
FEN,Significant Decrease
FENB,Slight Decrease
FENT,Moderate Decrease
FENX,Moderate Increase
FEP,Moderate Increase
FERO,Stable
FERT,Moderate Increase
FES,Significant Decrease
FESX,Slight Decrease
FET,Moderate Increase
FEXA,Significant Decrease
FEXC,Moderate Increase
FEXP,Significant Increase
FEYE,Slight Decrease
FEYI,Moderate Increase
FF,Moderate Decrease
FFAL,Stable
FFAM,Slight Decrease
FFB,Stable
FFBA,Stable
FFBC,Stable
FFBG,Stable
FFBH,Slight Decrease
FFBI,Slight Decrease
FFBK,Stable
FFBS,Stable
FFBW,Stable
FFBZ,Slight Decrease
FFC,Slight Decrease
FFCH,Moderate Increase
FFCI,Moderate Increase
FFCO,Slight Decrease
FFCP,Slight Decrease
FFD,Slight Decrease
FFDB,Slight Increase
FFDF,Slight Decrease
FFDP,Slight Decrease
FFEC,Slight Decrease
FFEF,Slight Decrease
FFES,Stable
FFEX,Moderate Increase
FFF,Moderate Decrease
FFFC,Stable
FFFD,Stable
FFFG,Stable
FFFL,Slight Decrease
FFG,Stable
FFGI,Significant Decrease
FFH,Slight Decrease
FFHC,Stable
FFHH,Slight Decrease
FFHP,Slight Decrease
FFHS,Stable
FFI,Slight Increase
FFIC,Slight Decrease
FFIE,Significant Increase
FFIN,Slight Decrease
FFIV,Slight Increase
FFKT,Stable
FFKY,Stable
FFLC,Stable
FFM,Moderate Decrease
FFMC,Moderate Decrease
FFML,Stable
FFN,Moderate Increase
FFNM,Stable
FFNW,Slight Decrease
FFOM,Stable
FFPB,Stable
FFPC,Stable
FFRV,Slight Decrease
FFSI,Slight Increase
FFSL,Slight Decrease
FFST,Slight Increase
FFSW,Stable
FFSX,Stable
FFTI,Moderate Decrease
FFWC,Slight Decrease
FFWD,Stable
FFWM,Slight Decrease
FFY,Stable
FFYF,Slight Decrease
FG,Slight Decrease
FGAS,Significant Increase
FGBI,Slight Decrease
FGC,Stable
FGCI,Significant Decrease
FGEN,Slight Decrease
FGF,Significant Increase
FGG,Slight Increase
FGH,Moderate Increase
FGHC,Slight Decrease
FGI,Slight Increase
FGII,Significant Decrease
FGL,Stable
FGLF,Moderate Increase
FGLS,Significant Decrease
FGMC,Significant Decrease
FGN,Moderate Decrease
FGRP,Moderate Decrease
FH,Moderate Increase
FHB,Stable
FHC,Significant Increase
FHCC,Moderate Decrease
FHCI,Moderate Increase
FHCO,Significant Decrease
FHFC,Moderate Decrease
FHI,Stable
FHN,Stable
FHO,Slight Decrease
FHOL,Significant Increase
FHPC,Slight Increase
FHRI,Moderate Increase
FHRX,Moderate Increase
FHS,Slight Increase
FHT,Moderate Decrease
FHTX,Slight Decrease
FHWN,Stable
FI,Moderate Decrease
FIB,Stable
FIBC,Stable
FIBK,Slight Decrease
FIBR,Moderate Increase
FIC,Slight Decrease
FICE,Stable
FICI,Moderate Increase
FICO,Moderate Increase
FICR,Slight Decrease
FID,Stable
FIF,Slight Decrease
FIFE,Moderate Decrease
FIFG,Slight Decrease
FIFS,Slight Decrease
FIG,Stable
FIGI,Moderate Increase
FIGIA,Significant Increase
FIGS,Significant Decrease
FII,Moderate Decrease
FIL,Slight Decrease
FILE,Slight Decrease
FILM,Significant Decrease
FILT,Slight Decrease
FIMG,Significant Decrease
FINB,Slight Decrease
FINE,Slight Increase
FING,Slight Increase
FINL,Moderate Decrease
FINVB,Significant Decrease
FINW,Moderate Decrease
FINX,Significant Decrease
FIO,Significant Decrease
FIP,Slight Decrease
FIR,Slight Decrease
FIRA,Significant Decrease
FIRE,Slight Decrease
FIRM,Significant Decrease
FIRS,Stable
FIS,Slight Decrease
FISB,Slight Decrease
FISH,Slight Decrease
FISI,Slight Decrease
FIST,Significant Increase
FISV,Slight Increase
FIT,Moderate Decrease
FITB,Stable
FITC,Stable
FITT,Significant Increase
FIVD,Significant Decrease
FIVE,Significant Decrease
FIVN,Slight Decrease
FIX,Moderate Increase
FIXX,Moderate Decrease
FIZ,Moderate Increase
FIZZ,Slight Increase
FJ,Stable
FJAK,Moderate Decrease
FJC,Slight Decrease
FJNC,Stable
FJQ,Significant Increase
FKAN,Slight Decrease
FKBC,Slight Decrease
FKFS,Slight Decrease
FKHD,Slight Decrease
FKKY,Slight Decrease
FKLN,Significant Decrease
FKM,Moderate Increase
FKS,Moderate Decrease
FKWL,Moderate Increase
FKYN,Slight Decrease
FL,Moderate Decrease
FLA,Moderate Decrease
FLAG,Stable
FLAH,Moderate Increase
FLAI,Stable
FLAM,Significant Decrease
FLAR,Slight Decrease
FLAS,Significant Increase
FLBC,Stable
FLBK,Stable
FLC,Stable
FLCG,Moderate Decrease
FLCI,Significant Increase
FLCN,Slight Decrease
FLCO,Stable
FLCP,Moderate Decrease
FLD,Slight Decrease
FLDM,Moderate Decrease
FLDR,Significant Increase
FLE,Significant Decrease
FLER,Significant Decrease
FLFC,Slight Decrease
FLG,Moderate Increase
FLGC,Significant Increase
FLGS,Stable
FLGT,Significant Decrease
FLIC,Slight Decrease
FLIF,Slight Decrease
FLIM,Moderate Decrease
FLIR,Slight Increase
FLK,Significant Decrease
FLKS,Significant Increase
FLL,Slight Decrease
FLM,Slight Decrease
FLMK,Moderate Decrease
FLMN,Significant Increase
FLNC,Significant Increase
FLNT,Moderate Decrease
FLO,Stable
FLOG,Significant Decrease
FLOK,Significant Decrease
FLOW,Moderate Increase
FLP,Significant Decrease
FLPB,Slight Decrease
FLPT,Slight Increase
FLR,Moderate Increase
FLRE,Moderate Increase
FLRO,Moderate Decrease
FLS,Moderate Increase
FLSC,Moderate Increase
FLT,Slight Increase
FLTI,Moderate Decrease
FLTR,Significant Increase
FLUX,Significant Increase
FLW,Moderate Increase
FLWR,Moderate Increase
FLWS,Slight Increase
FLX,Moderate Decrease
FLXI,Significant Decrease
FLXN,Significant Increase
FLXS,Moderate Decrease
FLXX,Significant Increase
FLY,Slight Decrease
FLYI,Significant Decrease
FLYR,Slight Decrease
FLYT,Slight Decrease
FLYW,Slight Increase
FM,Moderate Increase
FMAC,Significant Decrease
FMAO,Slight Decrease
FMAR,Slight Decrease
FMAT,Moderate Increase
FMAX,Significant Decrease
FMBC,Slight Decrease
FMBH,Slight Decrease
FMBI,Stable
FMBK,Slight Decrease
FMBN,Stable
FMC,Slight Decrease
FMCH,Stable
FMCI,Slight Decrease
FMCO,Slight Decrease
FMCT,Slight Decrease
FMD,Stable
FMDC,Significant Decrease
FMDD,Significant Decrease
FMED,Significant Increase
FMER,Slight Decrease
FMF,Moderate Increase
FMFC,Stable
FMI,Significant Decrease
FMIF,Slight Decrease
FMIG,Moderate Decrease
FMK,Moderate Decrease
FMKT,Moderate Decrease
FMLY,Slight Decrease
FMM,Moderate Decrease
FMMC,Moderate Increase
FMN,Slight Decrease
FMNB,Slight Decrease
FMO,Slight Decrease
FMOR,Moderate Decrease
FMPI,Significant Decrease
FMPO,Slight Decrease
FMR,Moderate Decrease
FMRX,Significant Increase
FMS,Slight Decrease
FMSA,Significant Increase
FMSB,Slight Decrease
FMSI,Significant Decrease
FMSR,Moderate Increase
FMST,Slight Increase
FMT,Moderate Decrease
FMTC,Moderate Decrease
FMTX,Moderate Decrease
FMY,Moderate Increase
FN,Moderate Increase
FNA,Stable
FNAT,Significant Decrease
FNB,Stable
FNBC,Slight Decrease
FNBF,Stable
FNBN,Slight Increase
FNBP,Slight Decrease
FNBR,Slight Decrease
FNC,Slight Decrease
FNCB,Slight Decrease
FNCE,Slight Decrease
FNCH,Moderate Decrease
FNCM,Significant Decrease
FNCO,Significant Decrease
FND,Slight Decrease
FNET,Moderate Decrease
FNF,Slight Decrease
FNFG,Slight Decrease
FNFI,Slight Decrease
FNFN,Slight Decrease
FNG,Slight Increase
FNGB,Slight Decrease
FNGC,Significant Decrease
FNGN,Slight Increase
FNHC,Slight Increase
FNHG,Slight Decrease
FNIN,Slight Decrease
FNIS,Moderate Decrease
FNJN,Moderate Decrease
FNKO,Significant Decrease
FNL,Slight Decrease
FNLC,Slight Decrease
FNLT,Slight Decrease
FNLY,Slight Decrease
FNM,Moderate Increase
FNNG,Moderate Increase
FNNI,Significant Increase
FNOW,Moderate Decrease
FNP,Stable
FNQ,Moderate Decrease
FNR,Significant Increase
FNRC,Slight Decrease
FNRG,Significant Decrease
FNRI,Significant Decrease
FNS,Slight Decrease
FNSC,Moderate Decrease
FNSR,Moderate Increase
FNTC,Slight Decrease
FNTE,Significant Increase
FNTL,Slight Decrease
FNTM,Slight Decrease
FNV,Moderate Decrease
FNWB,Slight Decrease
FNWD,Slight Decrease
FO,Moderate Decrease
FOA,Slight Decrease
FOAM,Moderate Decrease
FOBB,Slight Decrease
FOBBA,Slight Decrease
FOBC,Slight Decrease
FOCL,Significant Decrease
FOCS,Slight Decrease
FOE,Moderate Increase
FOG,Significant Decrease
FOGO,Slight Decrease
FOH,Moderate Decrease
FOKL,Moderate Increase
FOLD,Significant Increase
FOLI,Significant Decrease
FOM,Slight Decrease
FON,Significant Decrease
FONR,Slight Decrease
FOOD,Significant Increase
FOOT,Stable
FOR,Slight Decrease
FORA,Significant Increase
FORD,Moderate Increase
FORE,Significant Decrease
FORG,Slight Decrease
FORL,Moderate Decrease
FORM,Stable
FORR,Slight Decrease
FORT,Moderate Increase
FOSL,Significant Decrease
FOT,Moderate Decrease
FOUR,Moderate Increase
FOX,Slight Decrease
FOXA,Slight Decrease
FOXF,Slight Decrease
FOXH,Significant Increase
FOXI,Slight Decrease
FOXT,Moderate Decrease
FP,Significant Increase
FPA,Slight Decrease
FPAC,Stable
FPAM,Significant Increase
FPAY,Moderate Increase
FPB,Moderate Decrease
FPBI,Stable
FPBK,Slight Decrease
FPBN,Moderate Decrease
FPBT,Slight Decrease
FPC,Moderate Increase
FPCC,Significant Decrease
FPCO,Moderate Decrease
FPEX,Stable
FPFC,Slight Decrease
FPGI,Moderate Increase
FPGP,Significant Increase
FPH,Slight Decrease
FPHS,Moderate Increase
FPI,Slight Increase
FPIC,Slight Decrease
FPII,Significant Decrease
FPL,Stable
FPMI,Significant Decrease
FPNX,Significant Decrease
FPO,Stable
FPP,Significant Increase
FPRX,Significant Increase
FPRY,Slight Decrease
FPS,Slight Decrease
FPTB,Moderate Increase
FPU,Stable
FPUB,Moderate Decrease
FPUT,Moderate Increase
FPWR,Moderate Decrease
FPX,Significant Decrease
FQA,Moderate Increase
FQE,Stable
FRA,Significant Decrease
FRAC,Moderate Decrease
FRAF,Stable
FRAG,Stable
FRAM,Significant Increase
FRAN,Significant Decrease
FRB,Slight Decrease
FRBA,Slight Decrease
FRBK,Slight Decrease
FRC,Moderate Increase
FRCC,Moderate Increase
FRCH,Significant Decrease
FRCM,Moderate Increase
FRD,Moderate Increase
FRDM,Moderate Increase
FRE,Moderate Increase
FREC,Slight Increase
FRED,Slight Decrease
FREE,Slight Decrease
FREQ,Moderate Decrease
FRES,Moderate Decrease
FRF,Stable
FRG,Moderate Decrease
FRGB,Moderate Decrease
FRGI,Moderate Increase
FRGO,Slight Decrease
FRH,
FRHC,Moderate Increase
FRIG,Slight Decrease
FRIT,Moderate Increase
FRIZ,Significant Decrease
FRK,Significant Decrease
FRKT,Slight Increase
FRLN,Moderate Decrease
FRM,Stable
FRME,Stable
FRMG,Significant Decrease
FRMI,Significant Decrease
FRML,Moderate Decrease
FRMN,Significant Increase
FRN,Stable
FRNA,Significant Increase
FRND,Moderate Increase
FRNK,Slight Decrease
FRNS,Stable
FRNT,Slight Decrease
FRO,Slight Decrease
FROG,Significant Increase
FROK,Stable
FRON,Moderate Increase
FRP,Slight Decrease
FRPH,Stable
FRPP,Slight Increase
FRPT,Moderate Increase
FRRG,Stable
FRRI,Moderate Increase
FRS,Moderate Increase
FRSH,Slight Increase
FRSL,Significant Increase
FRST,Stable
FRTA,Moderate Increase
FRTE,Significant Increase
FRTG,Stable
FRTH,Slight Decrease
FRTL,Significant Decrease
FRTR,Slight Decrease
FRTX,Significant Increase
FRTZ,Slight Decrease
FRV,Moderate Increase
FRX,Moderate Increase
FRYA,Significant Decrease
FRZ,Slight Decrease
FRZA,Significant Increase
FSA,Slight Decrease
FSAM,Significant Decrease
FSB,Slight Decrease
FSBC,Slight Decrease
FSBI,Stable
FSBK,Stable
FSBT,Slight Decrease
FSBW,Stable
FSBX,Stable
FSC,Stable
FSCC,Significant Increase
FSCI,Moderate Increase
FSCO,Slight Decrease
FSCR,Significant Decrease
FSCT,Slight Decrease
FSCX,Significant Decrease
FSD,Significant Decrease
FSEA,Slight Decrease
FSEI,Significant Decrease
FSF,Slight Decrease
FSFC,Stable
FSFF,Slight Decrease
FSFG,Slight Decrease
FSFH,Significant Decrease
FSFI,Stable
FSFT,Significant Decrease
FSGI,Stable
FSH,Moderate Increase
FSHP,Significant Increase
FSI,Moderate Decrease
FSIG,Moderate Decrease
FSII,Slight Decrease
FSIIA,Significant Increase
FSIN,Moderate Decrease
FSL,Moderate Increase
FSLA,Slight Decrease
FSLB,Slight Increase
FSLR,Stable
FSLY,Moderate Increase
FSM,Stable
FSN,Significant Decrease
FSNI,Moderate Decrease
FSNJ,Stable
FSNM,Moderate Decrease
FSNN,Slight Increase
FSNR,Significant Decrease
FSON,Moderate Increase
FSP,Moderate Increase
FSPG,Slight Decrease
FSPT,Stable
FSR,Moderate Increase
FSS,Moderate Increase
FSSB,Slight Increase
FSST,Moderate Increase
FST,Slight Increase
FSTA,Slight Decrease
FSTC,Significant Increase
FSTF,Moderate Decrease
FSTH,Slight Decrease
FSTP,Moderate Increase
FSTR,Moderate Increase
FSTRA,Slight Decrease
FSTX,Significant Increase
FSVB,Slight Decrease
FSW,Significant Decrease
FSYS,Moderate Decrease
FTAC,Significant Increase
FTAI,Slight Decrease
FTBK,Moderate Decrease
FTC,Moderate Decrease
FTCG,Slight Decrease
FTCI,Moderate Increase
FTCO,Significant Decrease
FTD,Moderate Decrease
FTDI,Stable
FTDR,Moderate Increase
FTE,Moderate Increase
FTEC,Significant Decrease
FTEK,Slight Decrease
FTEN,Stable
FTF,Slight Decrease
FTFC,Stable
FTFN,Slight Decrease
FTFT,Slight Increase
FTG,Slight Decrease
FTGX,Moderate Increase
FTHL,Moderate Decrease
FTHLA,Moderate Increase
FTHM,Moderate Decrease
FTHR,Slight Increase
FTI,Moderate Decrease
FTIC,Significant Decrease
FTK,Significant Increase
FTL,Moderate Increase
FTM,Significant Decrease
FTN,Slight Decrease
FTNT,Moderate Increase
FTNW,Moderate Increase
FTO,Significant Increase
FTP,Significant Increase
FTPS,Slight Decrease
FTR,Moderate Increase
FTRL,Significant Increase
FTSB,Stable
FTSI,Moderate Increase
FTSP,Significant Decrease
FTSV,Significant Increase
FTTR,Significant Decrease
FTU,Slight Decrease
FTUS,Moderate Decrease
FTV,Slight Increase
FTVL,Slight Increase
FTWO,Moderate Increase
FTWR,Moderate Increase
FTX,Moderate Decrease
FUBC,Stable
FUBO,Moderate Increase
FUDD,Significant Increase
FUEL,Significant Increase
FUL,Stable
FULC,Moderate Increase
FULL,Stable
FULT,Stable
FUNC,Slight Decrease
FUNI,Slight Decrease
FUNN,Slight Decrease
FUQI,Moderate Increase
FURR,Stable
FURS,Moderate Decrease
FURX,Significant Decrease
FUS,Moderate Decrease
FUSA,Significant Decrease
FUSB,Stable
FUSC,Slight Decrease
FUSE,Moderate Increase
FUSN,Significant Decrease
FUV,Moderate Increase
FVB,Stable
FVCB,Slight Decrease
FVCX,Significant Decrease
FVE,Moderate Decrease
FVHI,Significant Decrease
FVNB,Slight Decrease
FW,Stable
